outlay_category,outlay_subcategory,baseline_date,baseline_name,APB_flag,projected_fiscal_year,projected_year_number,baseline_projected_outlay,actual_outlay,legislative_outlay_change,adjusted_projection,projection_error,projection_error_pct_actual
Mandatory,Medicare,1998-03-01,March 1998 Baseline,True,2007,10,366.2,370.8,78.9,445.1,74.3,20.0
Mandatory,Medicare,1998-03-01,March 1998 Baseline,True,2008,11,393.4,385.8,82.8,476.2,90.4,23.4
Mandatory,Medicare,1999-04-01,April 1999 Baseline,True,1999,1,191.7,187.7,0.0,191.7,4.0,2.1
Mandatory,Medicare,1999-04-01,April 1999 Baseline,True,2000,2,205.7,194.1,1.0,206.7,12.6,6.5
Mandatory,Medicare,1999-04-01,April 1999 Baseline,True,2001,3,219.3,214.1,9.4,228.7,14.6,6.8
Mandatory,Medicare,1999-04-01,April 1999 Baseline,True,2002,4,227.2,227.7,12.1,239.3,11.6,5.1
Mandatory,Medicare,1999-04-01,April 1999 Baseline,True,2003,5,247.9,245.7,10.4,258.2,12.5,5.1
Mandatory,Medicare,1999-04-01,April 1999 Baseline,True,2004,6,265.8,264.9,13.9,279.6,14.7,5.6
Mandatory,Medicare,1999-04-01,April 1999 Baseline,True,2005,7,292.2,294.3,17.8,310.0,15.7,5.3
Mandatory,Medicare,1999-04-01,April 1999 Baseline,True,2006,8,303.9,324.9,44.2,348.1,23.2,7.2
Mandatory,Medicare,1999-04-01,April 1999 Baseline,True,2007,9,334.8,370.8,79.2,413.9,43.2,11.6
Mandatory,Medicare,1999-04-01,April 1999 Baseline,True,2008,10,362.2,385.8,83.1,445.4,59.6,15.4
Mandatory,Medicare,1999-04-01,April 1999 Baseline,True,2009,11,391.3,425.1,85.9,477.2,52.1,12.3
Mandatory,Medicare,2000-04-01,April 2000 Baseline,True,2000,1,196.4,194.1,0.0,196.4,2.3,1.2
Mandatory,Medicare,2000-04-01,April 2000 Baseline,True,2001,2,212.9,214.1,3.9,216.8,2.8,1.3
Mandatory,Medicare,2000-04-01,April 2000 Baseline,True,2002,3,218.5,227.7,8.1,226.6,-1.1,-0.5
Mandatory,Medicare,2000-04-01,April 2000 Baseline,True,2003,4,236.4,245.7,7.6,244.0,-1.7,-0.7
Mandatory,Medicare,2000-04-01,April 2000 Baseline,True,2004,5,252.4,264.9,12.0,264.5,-0.4,-0.2
Mandatory,Medicare,2000-04-01,April 2000 Baseline,True,2005,6,275.6,294.3,16.0,291.5,-2.8,-0.9
Mandatory,Medicare,2000-04-01,April 2000 Baseline,True,2006,7,283.0,324.9,42.3,325.3,0.4,0.1
Mandatory,Medicare,2000-04-01,April 2000 Baseline,True,2007,8,309.0,370.8,77.1,386.2,15.4,4.2
Mandatory,Medicare,2000-04-01,April 2000 Baseline,True,2008,9,331.2,385.8,81.0,412.2,26.4,6.8
Mandatory,Medicare,2000-04-01,April 2000 Baseline,True,2009,10,356.0,425.1,83.6,439.6,14.5,3.4
Mandatory,Medicare,2000-04-01,April 2000 Baseline,True,2010,11,383.0,446.5,87.8,470.8,24.4,5.5
Mandatory,Medicare,2001-05-01,May 2001 Baseline,True,2001,1,214.8,214.1,0.0,214.8,0.8,0.4
Mandatory,Medicare,2001-05-01,May 2001 Baseline,True,2002,2,226.0,227.7,0.0,226.0,-1.7,-0.7
Mandatory,Medicare,2001-05-01,May 2001 Baseline,True,2003,3,240.1,245.7,1.1,241.1,-4.6,-1.9
Mandatory,Medicare,2001-05-01,May 2001 Baseline,True,2004,4,256.3,264.9,5.1,261.4,-3.5,-1.3
Mandatory,Medicare,2001-05-01,May 2001 Baseline,True,2005,5,278.5,294.3,8.3,286.7,-7.6,-2.6
Mandatory,Medicare,2001-05-01,May 2001 Baseline,True,2006,6,293.7,324.9,34.1,327.8,3.0,0.9
Mandatory,Medicare,2001-05-01,May 2001 Baseline,True,2007,7,318.8,370.8,67.7,386.5,15.8,4.3
Mandatory,Medicare,2001-05-01,May 2001 Baseline,True,2008,8,343.5,385.8,70.8,414.3,28.5,7.4
Mandatory,Medicare,2001-05-01,May 2001 Baseline,True,2009,9,371.1,425.1,72.5,443.6,18.5,4.4
Mandatory,Medicare,2001-05-01,May 2001 Baseline,True,2010,10,400.5,446.5,75.8,476.3,29.8,6.7
Mandatory,Medicare,2001-05-01,May 2001 Baseline,True,2011,11,440.4,479.9,86.8,527.2,47.3,9.9
Mandatory,Medicare,2002-03-01,March 2002 Baseline,True,2002,1,222.6,227.7,0.0,222.6,-5.1,-2.2
Mandatory,Medicare,2002-03-01,March 2002 Baseline,True,2003,2,233.2,245.7,1.1,234.2,-11.5,-4.7
Mandatory,Medicare,2002-03-01,March 2002 Baseline,True,2004,3,244.6,264.9,5.1,249.7,-15.2,-5.7
Mandatory,Medicare,2002-03-01,March 2002 Baseline,True,2005,4,262.4,294.3,8.3,270.7,-23.6,-8.0
Mandatory,Medicare,2002-03-01,March 2002 Baseline,True,2006,5,275.1,324.9,34.1,309.2,-15.7,-4.8
Mandatory,Medicare,2002-03-01,March 2002 Baseline,True,2007,6,297.9,370.8,67.7,365.7,-5.1,-1.4
Mandatory,Medicare,2002-03-01,March 2002 Baseline,True,2008,7,320.5,385.8,70.8,391.3,5.5,1.4
Mandatory,Medicare,2002-03-01,March 2002 Baseline,True,2009,8,344.8,425.1,72.5,417.4,-7.7,-1.8
Mandatory,Medicare,2002-03-01,March 2002 Baseline,True,2010,9,370.9,446.5,75.8,446.6,0.1,0.0
Mandatory,Medicare,2002-03-01,March 2002 Baseline,True,2011,10,401.8,479.9,86.8,488.6,8.7,1.8
Mandatory,Medicare,2002-03-01,March 2002 Baseline,True,2012,11,426.2,466.0,90.5,516.7,50.6,10.9
Mandatory,Medicare,2003-03-01,March 2003 Baseline,True,2003,1,244.6,245.7,0.0,244.6,-1.1,-0.4
Mandatory,Medicare,2003-03-01,March 2003 Baseline,True,2004,2,255.7,264.9,2.9,258.5,-6.4,-2.4
Mandatory,Medicare,2003-03-01,March 2003 Baseline,True,2005,3,272.1,294.3,5.3,277.3,-17.0,-5.8
Mandatory,Medicare,2003-03-01,March 2003 Baseline,True,2006,4,282.0,324.9,30.1,312.1,-12.7,-3.9
Mandatory,Medicare,2003-03-01,March 2003 Baseline,True,2007,5,302.7,370.8,62.5,365.3,-5.5,-1.5
Mandatory,Medicare,2003-03-01,March 2003 Baseline,True,2008,6,322.9,385.8,64.3,387.2,1.4,0.4
Mandatory,Medicare,2003-03-01,March 2003 Baseline,True,2009,7,346.0,425.1,65.2,411.2,-13.9,-3.3
Mandatory,Medicare,2003-03-01,March 2003 Baseline,True,2010,8,370.5,446.5,68.8,439.3,-7.2,-1.6
Mandatory,Medicare,2003-03-01,March 2003 Baseline,True,2011,9,400.5,479.9,80.5,481.0,1.1,0.2
Mandatory,Medicare,2003-03-01,March 2003 Baseline,True,2012,10,422.7,466.0,84.7,507.4,41.4,8.9
Mandatory,Medicare,2003-03-01,March 2003 Baseline,True,2013,11,459.2,491.8,83.0,542.2,50.4,10.3
Mandatory,Medicare,2004-03-01,March 2004 Baseline,True,2004,1,264.9,264.9,0.0,264.9,0.1,0.0
Mandatory,Medicare,2004-03-01,March 2004 Baseline,True,2005,2,285.0,294.3,0.2,285.2,-9.1,-3.1
Mandatory,Medicare,2004-03-01,March 2004 Baseline,True,2006,3,318.4,324.9,-3.2,315.2,-9.7,-3.0
Mandatory,Medicare,2004-03-01,March 2004 Baseline,True,2007,4,358.9,370.8,8.9,367.7,-3.0,-0.8
Mandatory,Medicare,2004-03-01,March 2004 Baseline,True,2008,5,383.7,385.8,5.2,388.9,3.1,0.8
Mandatory,Medicare,2004-03-01,March 2004 Baseline,True,2009,6,409.6,425.1,1.6,411.3,-13.8,-3.3
Mandatory,Medicare,2004-03-01,March 2004 Baseline,True,2010,7,438.4,446.5,-0.2,438.2,-8.3,-1.9
Mandatory,Medicare,2004-03-01,March 2004 Baseline,True,2011,8,474.5,479.9,6.2,480.7,0.8,0.2
Mandatory,Medicare,2004-03-01,March 2004 Baseline,True,2012,9,499.7,466.0,2.3,502.1,36.1,7.7
Mandatory,Medicare,2004-03-01,March 2004 Baseline,True,2013,10,545.7,491.8,-8.8,536.9,45.0,9.2
Mandatory,Medicare,2004-03-01,March 2004 Baseline,True,2014,11,590.9,505.3,-33.4,557.4,52.1,10.3
Mandatory,Medicare,2005-03-01,March 2005 Baseline,True,2005,1,289.6,294.3,0.0,289.6,-4.7,-1.6
Mandatory,Medicare,2005-03-01,March 2005 Baseline,True,2006,2,326.1,324.9,-3.2,322.9,-2.0,-0.6
Mandatory,Medicare,2005-03-01,March 2005 Baseline,True,2007,3,367.2,370.8,8.9,376.0,5.3,1.4
Mandatory,Medicare,2005-03-01,March 2005 Baseline,True,2008,4,390.4,385.8,5.2,395.6,9.7,2.5
Mandatory,Medicare,2005-03-01,March 2005 Baseline,True,2009,5,414.9,425.1,1.6,416.4,-8.7,-2.0
Mandatory,Medicare,2005-03-01,March 2005 Baseline,True,2010,6,443.5,446.5,-0.2,443.3,-3.2,-0.7
Mandatory,Medicare,2005-03-01,March 2005 Baseline,True,2011,7,482.1,479.9,6.2,488.3,8.4,1.8
Mandatory,Medicare,2005-03-01,March 2005 Baseline,True,2012,8,506.1,466.0,2.3,508.4,42.4,9.1
Mandatory,Medicare,2005-03-01,March 2005 Baseline,True,2013,9,554.7,491.8,-8.8,545.9,54.1,11.0
Mandatory,Medicare,2005-03-01,March 2005 Baseline,True,2014,10,599.9,505.3,-33.4,566.5,61.2,12.1
Mandatory,Medicare,2005-03-01,March 2005 Baseline,True,2015,11,649.4,539.9,-46.7,602.7,62.8,11.6
Mandatory,Medicare,2006-03-01,March 2006 Baseline,True,2006,1,326.8,324.9,0.0,326.8,1.9,0.6
Mandatory,Medicare,2006-03-01,March 2006 Baseline,True,2007,2,383.4,370.8,2.5,385.9,15.1,4.1
Mandatory,Medicare,2006-03-01,March 2006 Baseline,True,2008,3,408.5,385.8,6.5,415.0,29.2,7.6
Mandatory,Medicare,2006-03-01,March 2006 Baseline,True,2009,4,438.2,425.1,4.7,442.9,17.8,4.2
Mandatory,Medicare,2006-03-01,March 2006 Baseline,True,2010,5,468.4,446.5,5.0,473.4,26.9,6.0
Mandatory,Medicare,2006-03-01,March 2006 Baseline,True,2011,6,518.5,479.9,10.0,528.5,48.6,10.1
Mandatory,Medicare,2006-03-01,March 2006 Baseline,True,2012,7,521.0,466.0,6.4,527.4,61.4,13.2
Mandatory,Medicare,2006-03-01,March 2006 Baseline,True,2013,8,582.2,491.8,-5.4,576.8,85.0,17.3
Mandatory,Medicare,2006-03-01,March 2006 Baseline,True,2014,9,630.8,505.3,-30.4,600.4,95.1,18.8
Mandatory,Medicare,2006-03-01,March 2006 Baseline,True,2015,10,684.6,539.9,-44.1,640.5,100.6,18.6
Mandatory,Medicare,2006-03-01,March 2006 Baseline,True,2016,11,770.9,588.4,-55.7,715.2,126.8,21.6
Mandatory,Medicare,2007-03-01,March 2007 Baseline,True,2007,1,365.3,370.8,0.0,365.3,-5.5,-1.5
Mandatory,Medicare,2007-03-01,March 2007 Baseline,True,2008,2,384.7,385.8,6.1,390.8,4.9,1.3
Mandatory,Medicare,2007-03-01,March 2007 Baseline,True,2009,3,411.2,425.1,7.1,418.3,-6.8,-1.6
Mandatory,Medicare,2007-03-01,March 2007 Baseline,True,2010,4,437.2,446.5,7.7,444.9,-1.6,-0.4
Mandatory,Medicare,2007-03-01,March 2007 Baseline,True,2011,5,483.5,479.9,12.9,496.4,16.5,3.4
Mandatory,Medicare,2007-03-01,March 2007 Baseline,True,2012,6,480.5,466.0,8.0,488.5,22.4,4.8
Mandatory,Medicare,2007-03-01,March 2007 Baseline,True,2013,7,534.5,491.8,-4.2,530.3,38.5,7.8
Mandatory,Medicare,2007-03-01,March 2007 Baseline,True,2014,8,571.9,505.3,-29.0,542.9,37.6,7.4
Mandatory,Medicare,2007-03-01,March 2007 Baseline,True,2015,9,613.9,539.9,-42.5,571.3,31.5,5.8
Mandatory,Medicare,2007-03-01,March 2007 Baseline,True,2016,10,690.8,588.4,-54.1,636.7,48.3,8.2
Mandatory,Medicare,2007-03-01,March 2007 Baseline,True,2017,11,721.5,591.4,-75.9,645.7,54.3,9.2
Mandatory,Medicare,2008-03-01,March 2008 Baseline,True,2008,1,385.4,385.8,1.8,387.3,1.5,0.4
Mandatory,Medicare,2008-03-01,March 2008 Baseline,True,2009,2,414.8,425.1,5.7,420.5,-4.6,-1.1
Mandatory,Medicare,2008-03-01,March 2008 Baseline,True,2010,3,440.0,446.5,9.6,449.6,3.1,0.7
Mandatory,Medicare,2008-03-01,March 2008 Baseline,True,2011,4,488.6,479.9,16.2,504.8,24.9,5.2
Mandatory,Medicare,2008-03-01,March 2008 Baseline,True,2012,5,485.2,466.0,10.2,495.4,29.4,6.3
Mandatory,Medicare,2008-03-01,March 2008 Baseline,True,2013,6,546.3,491.8,-6.6,539.7,47.9,9.7
Mandatory,Medicare,2008-03-01,March 2008 Baseline,True,2014,7,585.7,505.3,-29.9,555.8,50.5,10.0
Mandatory,Medicare,2008-03-01,March 2008 Baseline,True,2015,8,628.0,539.9,-41.6,586.4,46.6,8.6
Mandatory,Medicare,2008-03-01,March 2008 Baseline,True,2016,9,705.2,588.4,-53.0,652.1,63.8,10.8
Mandatory,Medicare,2008-03-01,March 2008 Baseline,True,2017,10,732.9,591.4,-74.7,658.1,66.7,11.3
Mandatory,Medicare,2008-03-01,March 2008 Baseline,True,2018,11,759.6,581.8,-95.7,663.9,82.0,14.1
Mandatory,Medicare,2009-03-01,March 2009 Baseline,True,2009,1,421.5,425.1,0.0,421.5,-3.6,-0.9
Mandatory,Medicare,2009-03-01,March 2009 Baseline,True,2010,2,437.4,446.5,5.9,443.3,-3.2,-0.7
Mandatory,Medicare,2009-03-01,March 2009 Baseline,True,2011,3,481.5,479.9,14.7,496.3,16.4,3.4
Mandatory,Medicare,2009-03-01,March 2009 Baseline,True,2012,4,485.8,466.0,8.7,494.5,28.5,6.1
Mandatory,Medicare,2009-03-01,March 2009 Baseline,True,2013,5,534.0,491.8,-4.2,529.8,38.0,7.7
Mandatory,Medicare,2009-03-01,March 2009 Baseline,True,2014,6,586.8,505.3,-41.1,545.7,40.4,8.0
Mandatory,Medicare,2009-03-01,March 2009 Baseline,True,2015,7,611.3,539.9,-46.5,564.7,24.9,4.6
Mandatory,Medicare,2009-03-01,March 2009 Baseline,True,2016,8,667.3,588.4,-48.0,619.3,30.9,5.3
Mandatory,Medicare,2009-03-01,March 2009 Baseline,True,2017,9,691.2,591.4,-68.6,622.7,31.3,5.3
Mandatory,Medicare,2009-03-01,March 2009 Baseline,True,2018,10,716.8,581.8,-89.1,627.7,45.9,7.9
Mandatory,Medicare,2009-03-01,March 2009 Baseline,True,2019,11,796.3,643.9,-105.4,690.9,47.0,7.3
Mandatory,Medicare,2010-03-01,Final March 2010 baseline,True,2010,1,456.7,446.5,3.6,460.3,13.8,3.1
Mandatory,Medicare,2010-03-01,Final March 2010 baseline,True,2011,2,493.4,479.9,14.7,508.1,28.2,5.9
Mandatory,Medicare,2010-03-01,Final March 2010 baseline,True,2012,3,491.6,466.0,8.7,500.3,34.3,7.4
Mandatory,Medicare,2010-03-01,Final March 2010 baseline,True,2013,4,542.2,491.8,-4.2,538.0,46.1,9.4
Mandatory,Medicare,2010-03-01,Final March 2010 baseline,True,2014,5,606.8,505.3,-39.8,567.0,61.7,12.2
Mandatory,Medicare,2010-03-01,Final March 2010 baseline,True,2015,6,630.5,539.9,-46.3,584.2,44.3,8.2
Mandatory,Medicare,2010-03-01,Final March 2010 baseline,True,2016,7,684.8,588.4,-48.3,636.5,48.1,8.2
Mandatory,Medicare,2010-03-01,Final March 2010 baseline,True,2017,8,713.6,591.4,-68.6,645.1,53.7,9.1
Mandatory,Medicare,2010-03-01,Final March 2010 baseline,True,2018,9,743.2,581.8,-89.1,654.1,72.2,12.4
Mandatory,Medicare,2010-03-01,Final March 2010 baseline,True,2019,10,828.0,643.9,-105.4,722.6,78.7,12.2
Mandatory,Medicare,2010-03-01,Final March 2010 baseline,True,2020,11,892.8,768.9,-67.2,825.5,56.6,7.4
Mandatory,Medicare,2011-03-01,March 2011 Baseline,True,2011,1,485.3,479.9,0.0,485.3,5.3,1.1
Mandatory,Medicare,2011-03-01,March 2011 Baseline,True,2012,2,476.5,466.0,12.5,489.0,22.9,4.9
Mandatory,Medicare,2011-03-01,March 2011 Baseline,True,2013,3,514.0,491.8,14.3,528.3,36.5,7.4
Mandatory,Medicare,2011-03-01,March 2011 Baseline,True,2014,4,541.8,505.3,4.6,546.4,41.1,8.1
Mandatory,Medicare,2011-03-01,March 2011 Baseline,True,2015,5,564.3,539.9,4.4,568.6,28.8,5.3
Mandatory,Medicare,2011-03-01,March 2011 Baseline,True,2016,6,611.6,588.4,9.6,621.2,32.8,5.6
Mandatory,Medicare,2011-03-01,March 2011 Baseline,True,2017,7,632.7,591.4,3.5,636.3,44.9,7.6
Mandatory,Medicare,2011-03-01,March 2011 Baseline,True,2018,8,655.2,581.8,-4.1,651.1,69.3,11.9
Mandatory,Medicare,2011-03-01,March 2011 Baseline,True,2019,9,715.2,643.9,-5.6,709.6,65.7,10.2
Mandatory,Medicare,2011-03-01,March 2011 Baseline,True,2020,10,766.8,768.9,49.9,816.7,47.8,6.2
Mandatory,Medicare,2011-03-01,March 2011 Baseline,True,2021,11,820.7,688.8,64.4,885.1,196.3,28.5
Mandatory,Medicare,2012-03-01,March 2012 Baseline,True,2012,1,485.6,466.0,0.0,485.6,19.6,4.2
Mandatory,Medicare,2012-03-01,March 2012 Baseline,True,2013,2,503.6,491.8,13.4,516.9,25.1,5.1
Mandatory,Medicare,2012-03-01,March 2012 Baseline,True,2014,3,527.1,505.3,13.9,540.9,35.6,7.1
Mandatory,Medicare,2012-03-01,March 2012 Baseline,True,2015,4,551.4,539.9,13.6,565.0,25.1,4.7
Mandatory,Medicare,2012-03-01,March 2012 Baseline,True,2016,5,599.7,588.4,19.1,618.8,30.5,5.2
Mandatory,Medicare,2012-03-01,March 2012 Baseline,True,2017,6,615.7,591.4,13.4,629.1,37.7,6.4
Mandatory,Medicare,2012-03-01,March 2012 Baseline,True,2018,7,636.8,581.8,6.3,643.1,61.2,10.5
Mandatory,Medicare,2012-03-01,March 2012 Baseline,True,2019,8,697.4,643.9,5.6,703.0,59.1,9.2
Mandatory,Medicare,2012-03-01,March 2012 Baseline,True,2020,9,747.2,768.9,62.0,809.1,40.2,5.2
Mandatory,Medicare,2012-03-01,March 2012 Baseline,True,2021,10,797.8,688.8,77.3,875.1,186.3,27.0
Mandatory,Medicare,2013-05-01,CBO May 2013 Baseline,True,2013,1,495.7,491.8,0.0,495.7,3.9,0.8
Mandatory,Medicare,2013-05-01,CBO May 2013 Baseline,True,2014,2,505.3,505.3,9.8,515.1,9.8,1.9
Mandatory,Medicare,2013-05-01,CBO May 2013 Baseline,True,2015,3,521.3,539.9,16.5,537.8,-2.1,-0.4
Mandatory,Medicare,2013-05-01,CBO May 2013 Baseline,True,2016,4,571.9,588.4,22.4,594.2,5.9,1.0
Mandatory,Medicare,2013-05-01,CBO May 2013 Baseline,True,2017,5,587.1,591.4,16.7,603.8,12.4,2.1
Mandatory,Medicare,2013-05-01,CBO May 2013 Baseline,True,2018,6,605.5,581.8,6.3,611.8,30.0,5.2
Mandatory,Medicare,2013-05-01,CBO May 2013 Baseline,True,2019,7,669.0,643.9,5.9,674.9,31.0,4.8
Mandatory,Medicare,2013-05-01,CBO May 2013 Baseline,True,2020,8,716.8,768.9,62.8,779.6,10.7,1.4
Mandatory,Medicare,2013-05-01,CBO May 2013 Baseline,True,2021,9,767.7,688.8,78.2,845.9,157.1,22.8
Mandatory,Medicare,2014-04-01,April 2014 Baseline,True,2014,1,512.4,505.3,0.0,512.4,7.1,1.4
Mandatory,Medicare,2014-04-01,April 2014 Baseline,True,2015,2,523.8,539.9,5.8,529.6,-10.3,-1.9
Mandatory,Medicare,2014-04-01,April 2014 Baseline,True,2016,3,562.8,588.4,18.9,581.7,-6.7,-1.1
Mandatory,Medicare,2014-04-01,April 2014 Baseline,True,2017,4,569.5,591.4,15.9,585.4,-6.0,-1.0
Mandatory,Medicare,2014-04-01,April 2014 Baseline,True,2018,5,579.1,581.8,7.0,586.1,4.3,0.7
Mandatory,Medicare,2014-04-01,April 2014 Baseline,True,2019,6,641.4,643.9,7.1,648.4,4.6,0.7
Mandatory,Medicare,2014-04-01,April 2014 Baseline,True,2020,7,686.3,768.9,64.5,750.8,-18.1,-2.4
Mandatory,Medicare,2014-04-01,April 2014 Baseline,True,2021,8,735.6,688.8,80.0,815.7,126.9,18.4
Mandatory,Medicare,2015-03-01,March 2015 Baseline,True,2015,1,527.1,539.9,6.9,534.0,-5.8,-1.1
Mandatory,Medicare,2015-03-01,March 2015 Baseline,True,2016,2,560.3,588.4,19.5,579.8,-8.5,-1.5
Mandatory,Medicare,2015-03-01,March 2015 Baseline,True,2017,3,562.3,591.4,16.0,578.4,-13.0,-2.2
Mandatory,Medicare,2015-03-01,March 2015 Baseline,True,2018,4,573.7,581.8,7.2,580.9,-0.9,-0.2
Mandatory,Medicare,2015-03-01,March 2015 Baseline,True,2019,5,642.1,643.9,7.2,649.4,5.5,0.9
Mandatory,Medicare,2015-03-01,March 2015 Baseline,True,2020,6,688.1,768.9,64.5,752.7,-16.3,-2.1
Mandatory,Medicare,2015-03-01,March 2015 Baseline,True,2021,7,738.2,688.8,80.0,818.2,129.4,18.8
Mandatory,Medicare,2016-03-01,March 2016 baseline,True,2016,1,591.2,588.4,0.0,591.2,2.9,0.5
Mandatory,Medicare,2016-03-01,March 2016 baseline,True,2017,2,594.1,591.4,0.1,594.3,2.9,0.5
Mandatory,Medicare,2016-03-01,March 2016 baseline,True,2018,3,593.5,581.8,1.3,594.8,13.0,2.2
Mandatory,Medicare,2016-03-01,March 2016 baseline,True,2019,4,660.1,643.9,1.8,661.9,18.0,2.8
Mandatory,Medicare,2016-03-01,March 2016 baseline,True,2020,5,708.7,768.9,59.6,768.3,-0.6,-0.1
Mandatory,Medicare,2016-03-01,March 2016 baseline,True,2021,6,759.2,688.8,71.3,830.5,141.7,20.6
Mandatory,Medicare,2017-06-01,June 2017 Baseline,True,2017,1,589.8,591.4,0.0,589.8,-1.6,-0.3
Mandatory,Medicare,2017-06-01,June 2017 Baseline,True,2018,2,584.4,581.8,1.3,585.6,3.8,0.7
Mandatory,Medicare,2017-06-01,June 2017 Baseline,True,2019,3,647.9,643.9,1.9,649.8,5.9,0.9
Mandatory,Medicare,2017-06-01,June 2017 Baseline,True,2020,4,698.3,768.9,59.8,758.1,-10.9,-1.4
Mandatory,Medicare,2017-06-01,June 2017 Baseline,True,2021,5,753.5,688.8,71.1,824.7,135.9,19.7
Mandatory,Medicare,2018-04-01,"April 2018 Baseline, adjusted",True,2018,1,583.2,581.8,0.0,583.2,1.3,0.2
Mandatory,Medicare,2018-04-01,"April 2018 Baseline, adjusted",True,2019,2,640.9,643.9,0.0,641.0,-2.9,-0.5
Mandatory,Medicare,2018-04-01,"April 2018 Baseline, adjusted",True,2020,3,685.0,768.9,58.5,743.5,-25.4,-3.3
Mandatory,Medicare,2018-04-01,"April 2018 Baseline, adjusted",True,2021,4,738.3,688.8,68.3,806.5,117.7,17.1
Mandatory,Medicare,2019-05-01,May 2019 Baseline,True,2019,1,630.3,643.9,0.0,630.3,-13.6,-2.1
Mandatory,Medicare,2019-05-01,May 2019 Baseline,True,2020,2,671.2,768.9,58.4,729.6,-39.3,-5.1
Mandatory,Medicare,2019-05-01,May 2019 Baseline,True,2021,3,725.5,688.8,68.2,793.7,104.9,15.2
Mandatory,Medicare,2020-03-01,March 2020 Baseline,True,2020,1,688.3,768.9,58.2,746.5,-22.4,-2.9
Mandatory,Medicare,2020-03-01,March 2020 Baseline,True,2021,2,731.7,688.8,68.0,799.7,110.9,16.1
Mandatory,Medicare,2021-07-01,2021 July Baseline,True,2021,1,682.6,688.8,0.0,682.6,-6.3,-0.9
Mandatory,Medicaid,1992-03-01,March 1992 Baseline,True,1992,1,68.4,67.8,0.0,68.4,0.5,0.8
Mandatory,Medicaid,1992-03-01,March 1992 Baseline,True,1993,2,79.6,75.8,0.0,79.6,3.8,5.0
Mandatory,Medicaid,1992-03-01,March 1992 Baseline,True,1994,3,89.0,82.0,0.0,89.0,7.0,8.6
Mandatory,Medicaid,1992-03-01,March 1992 Baseline,True,1995,4,100.2,89.1,-1.0,99.2,10.1,11.4
Mandatory,Medicaid,1992-03-01,March 1992 Baseline,True,1996,5,112.6,92.0,-1.6,111.0,19.0,20.7
Mandatory,Medicaid,1992-03-01,March 1992 Baseline,True,1997,6,126.3,95.6,-1.5,124.8,29.2,30.6
Mandatory,Medicaid,1993-03-01,March 1993 Baseline,True,1993,1,80.3,75.8,0.0,80.3,4.5,6.0
Mandatory,Medicaid,1993-03-01,March 1993 Baseline,True,1994,2,91.9,82.0,0.0,91.9,9.8,12.0
Mandatory,Medicaid,1993-03-01,March 1993 Baseline,True,1995,3,105.0,89.1,-1.0,104.0,14.9,16.7
Mandatory,Medicaid,1993-03-01,March 1993 Baseline,True,1996,4,117.7,92.0,-1.6,116.1,24.1,26.2
Mandatory,Medicaid,1993-03-01,March 1993 Baseline,True,1997,5,131.0,95.6,-1.5,129.4,33.9,35.5
Mandatory,Medicaid,1993-03-01,March 1993 Baseline,True,1998,6,145.9,101.2,-2.4,143.6,42.3,41.8
Mandatory,Medicaid,1994-04-01,April 1994 Baseline,True,1994,1,85.9,82.0,0.0,85.9,3.8,4.7
Mandatory,Medicaid,1994-04-01,April 1994 Baseline,True,1995,2,96.2,89.1,0.0,96.2,7.1,8.0
Mandatory,Medicaid,1994-04-01,April 1994 Baseline,True,1996,3,108.1,92.0,0.1,108.2,16.2,17.6
Mandatory,Medicaid,1994-04-01,April 1994 Baseline,True,1997,4,120.9,95.6,0.6,121.5,25.9,27.1
Mandatory,Medicaid,1994-04-01,April 1994 Baseline,True,1998,5,135.4,101.2,0.1,135.5,34.3,33.8
Mandatory,Medicaid,1994-04-01,April 1994 Baseline,True,1999,6,151.1,108.0,-0.8,150.3,42.2,39.1
Mandatory,Medicaid,1995-04-01,April 1995 Baseline,True,1995,1,89.2,89.1,0.0,89.2,0.1,0.2
Mandatory,Medicaid,1995-04-01,April 1995 Baseline,True,1996,2,99.3,92.0,0.1,99.3,7.4,8.0
Mandatory,Medicaid,1995-04-01,April 1995 Baseline,True,1997,3,110.0,95.6,0.6,110.6,15.0,15.7
Mandatory,Medicaid,1995-04-01,April 1995 Baseline,True,1998,4,122.1,101.2,0.1,122.2,21.0,20.7
Mandatory,Medicaid,1995-04-01,April 1995 Baseline,True,1999,5,134.8,108.0,-0.8,134.0,26.0,24.1
Mandatory,Medicaid,1995-04-01,April 1995 Baseline,True,2000,6,148.1,117.9,-2.0,146.1,28.2,23.9
Mandatory,Medicaid,1996-05-01,May 1996 Baseline (Pre-Legislation),True,1996,1,95.7,92.0,0.1,95.8,3.8,4.1
Mandatory,Medicaid,1996-05-01,May 1996 Baseline (Pre-Legislation),True,1997,2,104.8,95.6,0.6,105.3,9.8,10.2
Mandatory,Medicaid,1996-05-01,May 1996 Baseline (Pre-Legislation),True,1998,3,115.4,101.2,0.1,115.6,14.3,14.2
Mandatory,Medicaid,1996-05-01,May 1996 Baseline (Pre-Legislation),True,1999,4,126.4,108.0,-0.8,125.6,17.5,16.2
Mandatory,Medicaid,1996-05-01,May 1996 Baseline (Pre-Legislation),True,2000,5,138.2,117.9,-2.0,136.2,18.3,15.5
Mandatory,Medicaid,1996-05-01,May 1996 Baseline (Pre-Legislation),True,2001,6,151.5,129.4,-3.0,148.5,19.1,14.8
